Date_reported,New_cases
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,1
22/03/2020,0
23/03/2020,0
24/03/2020,8
25/03/2020,0
26/03/2020,3
27/03/2020,4
28/03/2020,4
29/03/2020,7
30/03/2020,3
31/03/2020,0
01/04/2020,11
02/04/2020,0
03/04/2020,1
04/04/2020,1
05/04/2020,0
06/04/2020,4
07/04/2020,0
08/04/2020,0
09/04/2020,1
10/04/2020,0
11/04/2020,0
12/04/2020,0
13/04/2020,1
14/04/2020,0
15/04/2020,1
16/04/2020,0
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,0
21/04/2020,0
22/04/2020,0
23/04/2020,0
24/04/2020,0
25/04/2020,1
26/04/2020,0
27/04/2020,0
28/04/2020,0
29/04/2020,0
30/04/2020,1
01/05/2020,0
02/05/2020,1
03/05/2020,1
04/05/2020,0
05/05/2020,3
06/05/2020,0
07/05/2020,0
08/05/2020,0
09/05/2020,3
10/05/2020,1
11/05/2020,2
12/05/2020,1
13/05/2020,2
14/05/2020,6
15/05/2020,5
16/05/2020,17
17/05/2020,4
18/05/2020,21
19/05/2020,12
20/05/2020,4
21/05/2020,10
22/05/2020,15
23/05/2020,13
24/05/2020,25
25/05/2020,14
26/05/2020,10
27/05/2020,31
28/05/2020,28
29/05/2020,34
30/05/2020,12
31/05/2020,83
01/06/2020,43
02/06/2020,30
03/06/2020,17
